volume (L),Volume uncertainty (L),Temperature (K)
  0.311   ,         0.010        ,    88.3
  0.360   ,         0.010        ,   103.7
  0.414   ,         0.010        ,   113.6
  0.496   ,         0.010        ,   139.9
  0.560   ,         0.010        ,   159.0
  0.517   ,         0.010        ,   151.8
  0.576   ,         0.010        ,   169.2
  0.641   ,         0.010        ,   178.8
  0.677   ,         0.010        ,   196.4
  0.759   ,         0.010        ,   217.3
  0.725   ,         0.010        ,   211.4
  0.859   ,         0.010        ,   255.0
  0.841   ,         0.010        ,   250.1
  0.969   ,         0.010        ,   285.0
  1.005   ,         0.010        ,   294.1
  0.966   ,         0.010        ,   281.8
  1.025   ,         0.010        ,   302.1
  1.161   ,         0.010        ,   339.5
  1.195   ,         0.010        ,   354.6
  1.329   ,         0.010        ,   391.9
  1.380   ,         0.010        ,   412.5
  1.368   ,         0.010        ,   401.3
  1.363   ,         0.010        ,   404.7
  1.473   ,         0.010        ,   434.2
  1.554   ,         0.010        ,   462.2
  1.652   ,         0.010        ,   488.4
  1.648   ,         0.010        ,   490.7
  1.703   ,         0.010        ,   506.6
  1.685   ,         0.010        ,   502.5
  1.754   ,         0.010        ,   518.0
  1.787   ,         0.010        ,   533.9
  1.954   ,         0.010        ,   583.0
  1.864   ,         0.010        ,   557.9
  1.886   ,         0.010        ,   559.1
